service_id,date,exception_type
DEC24-D02CAR-1_Weekday-KINGMB0,20250130,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250130,2
DEC24-D02CAR-1_Weekday-KINGMA0,20250130,2
DEC24-D02CAR-1_Weekday-SANTHB0,20250130,2
DEC24-D02CAR-1_Weekday-KINGMB0,20250131,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250131,2
DEC24-D02CAR-1_Weekday-KINGMA0,20250131,2
DEC24-D02CAR-1_Weekday-SANTHB0,20250131,2
DEC24-D02CAR-1_Weekday-KINGMB0,20250203,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250203,2
DEC24-D02CAR-1_Weekday-KINGMA0,20250203,2
DEC24-D02CAR-1_Weekday-SANTHB0,20250203,2
DEC24-D02CAR-1_Weekday-KINGMB0,20250204,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250204,2
DEC24-D02CAR-1_Weekday-KINGMS1,20250204,2
DEC24-D02CAR-1_Weekday-SANTHS1,20250204,2
DEC24-D02CAR-1_Weekday-KINGMB0,20250205,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250205,2
DEC24-D02CAR-1_Weekday-KINGMA0,20250205,2
DEC24-D02CAR-1_Weekday-SANTHB0,20250205,2
DEC24-D02CAR-1_Weekday-KINGMB0,20250206,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250206,2
DEC24-D02CAR-1_Weekday-KINGMA0,20250206,2
DEC24-D02CAR-1_Weekday-SANTHB0,20250206,2
DEC24-D02CAR-1_Weekday-KINGMB0,20250207,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250207,2
DEC24-D02CAR-1_Weekday-KINGMA0,20250207,2
DEC24-D02CAR-1_Weekday-SANTHB0,20250207,2
DEC24-D02CAR-1_Weekday-KINGMB0,20250210,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250210,2
DEC24-D02CAR-1_Weekday-KINGMA0,20250210,2
DEC24-D02CAR-1_Weekday-SANTHB0,20250210,2
DEC24-D02CAR-1_Weekday-KINGMB0,20250211,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250211,2
